title,type,agency_names,abstract,citation,document_number,html_url,pdf_url,publication_date,Title Product,Title Note,Assignment,Product Name,Patent No.,Company,Reg Rev Period,Testing Phase,Approval Phase,IND/IDE Filing Date,NDA/PMA Filing Date,Approval Date,Application No.,Pat Term Ext
Determination of Regulatory Review Period for Purposes of Patent Extension; KALYDECO,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for KALYDECO and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",79 FR 31118,2014-12561,https://www.federalregister.gov/documents/2014/05/30/2014-12561/determination-of-regulatory-review-period-for-purposes-of-patent-extension-kalydeco,https://www.govinfo.gov/content/pkg/FR-2014-05-30/pdf/2014-12561.pdf,2014-05-30, KALYDECO,,Jonathan,KALYDECO (ivacaftor),7495103,Vertex Pharmaceuticals Inc.,2121.0,2015.0,106.0,2006-04-13 00:00:00,2011-10-18,2012-01-31,NDA 203188,0
Determination of Regulatory Review Period for Purposes of Patent Extension; PROGENSA PCA3 ASSAY,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for PROGENSA PCA3 ASSAY and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that medical device.",79 FR 31119,2014-12562,https://www.federalregister.gov/documents/2014/05/30/2014-12562/determination-of-regulatory-review-period-for-purposes-of-patent-extension-progensa-pca3-assay,https://www.govinfo.gov/content/pkg/FR-2014-05-30/pdf/2014-12562.pdf,2014-05-30, PROGENSA PCA3 ASSAY,,Jonathan,PROGENSA PCA3 ASSAY,7008765,"The Johns Hopkins University & The Stichting Katholieke Universiteit, The University Medical Centre Nijmegen",936.0,383.0,553.0,2009-07-24 00:00:00,2010-08-10,2012-02-13,PMA P100033,745
Determination of Regulatory Review Period for Purposes of Patent Extension; XIAFLEX,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for XIAFLEX and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human biological product.",79 FR 31951,2014-12808,https://www.federalregister.gov/documents/2014/06/03/2014-12808/determination-of-regulatory-review-period-for-purposes-of-patent-extension-xiaflex,https://www.govinfo.gov/content/pkg/FR-2014-06-03/pdf/2014-12808.pdf,2014-06-03, XIAFLEX,,Jonathan,XIAFLEX,RE39941,"Auxilium Pharmaceuticals, Inc.",5278.0,4937,341.0,"August 24, 1995","August 24, 1995","February 2, 2010",BLA 125338,1806
Determination of Regulatory Review Period for Purposes of Patent Extension; STENDRA,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for STENDRA and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human drug product.",79 FR 33198,2014-13444,https://www.federalregister.gov/documents/2014/06/10/2014-13444/determination-of-regulatory-review-period-for-purposes-of-patent-extension-stendra,https://www.govinfo.gov/content/pkg/FR-2014-06-10/pdf/2014-13444.pdf,2014-06-10, STENDRA,,Jonathan,STENDRA,6656935,Mitsubishi Tanabe Pharma Corp.,3770.0,3466,304.0,"January 2, 2002","January 2, 2002","April 27, 2012",NDA 202276,1686
Determination of Regulatory Review Period for Purposes of Patent Extension; Xience Prime Ll Everolimus Eluting Coronary Stent System,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Xience Prime Ll Everolimus Eluting Coronary Stent System and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that medical device.",79 FR 33199,2014-13445,https://www.federalregister.gov/documents/2014/06/10/2014-13445/determination-of-regulatory-review-period-for-purposes-of-patent-extension-xience-prime-ll,https://www.govinfo.gov/content/pkg/FR-2014-06-10/pdf/2014-13445.pdf,2014-06-10, Xience Prime Ll Everolimus Eluting Coronary Stent System,,Jonathan,Xience Prime Ll Everolimus Eluting Coronary Stent System,5514154,Abbott Cardiovascular Systems Inc.,890.0,694,196.0,"May 27, 2009","May 27, 2009","November 1, 2011",PMA P110019,630
Determination of Regulatory Review Period for Purposes of Patent Extension; Vandetanib,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Vandetanib and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",79 FR 33563,2014-13566,https://www.federalregister.gov/documents/2014/06/11/2014-13566/determination-of-regulatory-review-period-for-purposes-of-patent-extension-vandetanib,https://www.govinfo.gov/content/pkg/FR-2014-06-11/pdf/2014-13566.pdf,2014-06-11, Vandetanib,,Jonathan,Vandetanib,7173038,AstraZeneca AB,4009.0,3735,274.0,"April 16, 2000","April 16, 2000","April 6, 2011",NDA 22-405,898
Determination of Regulatory Review Period for Purposes of Patent Extension; Vandetanib,Notice,Health and Human Services Department; Food and Drug Administration,The Food and Drug Administration (FDA) has determined the regulatory review period for VANDETANIB and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO) for the extension of a patent which claims that human drug product.,79 FR 33562,2014-13567,https://www.federalregister.gov/documents/2014/06/11/2014-13567/determination-of-regulatory-review-period-for-purposes-of-patent-extension-vandetanib,https://www.govinfo.gov/content/pkg/FR-2014-06-11/pdf/2014-13567.pdf,2014-06-11, Vandetanib,,Jonathan,Vandetanib,RE42353,AstraZeneca UK Limited,4009.0,3735,274.0,"April 16, 2000","April 16, 2000","April 6, 2011",NDA 22-405,1738
Determination of Regulatory Review Period for Purposes of Patent Extension; Zuprevo,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for ZUPREVO and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that animal drug product.",79 FR 33763,2014-13637,https://www.federalregister.gov/documents/2014/06/12/2014-13637/determination-of-regulatory-review-period-for-purposes-of-patent-extension-zuprevo,https://www.govinfo.gov/content/pkg/FR-2014-06-12/pdf/2014-13637.pdf,2014-06-12, Zuprevo,,Jonathan,ZUPREVO,6514946,Koueki Zaidan Hojin Biseibutsu Kagaku Kenkyu Kai,2903.0,2842,61.0,"June 4, 2004","May 14, 2012","May 14, 2012",NADA 141-334,1524
Determination of Regulatory Review Period for Purposes of Patent Extension; Arcapta Neohaler,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Arcapta Neohaler and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human drug product.",79 FR 33761,2014-13638,https://www.federalregister.gov/documents/2014/06/12/2014-13638/determination-of-regulatory-review-period-for-purposes-of-patent-extension-arcapta-neohaler,https://www.govinfo.gov/content/pkg/FR-2014-06-12/pdf/2014-13638.pdf,2014-06-12, Arcapta Neohaler,,Jonathan,Arcapta Neohaler,6878721,Novartis AG,3097.0,2171,926.0,"January 9, 2003","January 9, 2003","July 1, 2011",NDA 22-383,1597
Determination of Regulatory Review Period for Purposes of Patent Extension; Arctic Front Cryocatheter System,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Arctic Front Cryocatheter System and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of Patents and Trademarks, Department of Commerce, for the extension of patents which claim that medical device.",79 FR 33762,2014-13640,https://www.federalregister.gov/documents/2014/06/12/2014-13640/determination-of-regulatory-review-period-for-purposes-of-patent-extension-arctic-front-cryocatheter,https://www.govinfo.gov/content/pkg/FR-2014-06-12/pdf/2014-13640.pdf,2014-06-12, Arctic Front Cryocatheter System,,Jonathan,Arctic Front Cryocatheter System,6575966; 7648497; and 7727228,Medtronic CryoCath LP,2670.0,2389,281.0,"August 28, 2003","August 28, 2003","December 17, 2010",PMA P100010,1476
Determination of Regulatory Review Period for Purposes of Patent Extension; VICTRELIS,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for VICTRELIS and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human drug product.",79 FR 36535,2014-15021,https://www.federalregister.gov/documents/2014/06/27/2014-15021/determination-of-regulatory-review-period-for-purposes-of-patent-extension-victrelis,https://www.govinfo.gov/content/pkg/FR-2014-06-27/pdf/2014-15021.pdf,2014-06-27, VICTRELIS,,Jonathan,VICTRELIS,RE43298,Schering Corporation,2160.0,1980,180.0,"June 15, 2005","June 15, 2005","May 13, 2011",NDA 202-258,1032
Determination of Regulatory Review Period for Purposes of Patent Extension; HORIZANT,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for HORIZANT and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human drug product.",79 FR 40108,2014-16237,https://www.federalregister.gov/documents/2014/07/11/2014-16237/determination-of-regulatory-review-period-for-purposes-of-patent-extension-horizant,https://www.govinfo.gov/content/pkg/FR-2014-07-11/pdf/2014-16237.pdf,2014-07-11, HORIZANT,,Jonathan,HORIZANT,6818787,"XenoPort, Inc.",2277.0,1459,818.0,"January 12, 2005","January 12, 2005","April 6, 2011",NDA 22-399,882
